SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
POWERGRID,EQ,01-Jan-2026,264.6,264.1,267.55,264.1,267.55,266.8,266.03,4298196,11434.34,46089, 2172803, 50.55
RELIANCE,EQ,01-Jan-2026,1570.4,1573.7,1592.5,1571.1,1572.9,1575.6,1578.67,6408128,101163.47,134062, 2100118, 32.77
SBILIFE,EQ,01-Jan-2026,2034.9,2034.9,2045.9,2027.2,2045.9,2040.4,2036.52,235630,4798.65,24391, 112682, 47.82
SBIN,EQ,01-Jan-2026,982.2,983.2,987.65,980.35,984.6,984.75,984.57,4328348,42615.71,95120, 2382544, 55.05
SHRIRAMFIN,EQ,01-Jan-2026,996.2,996.2,1025.6,996.0,1020.0,1019.7,1009.26,4289057,43287.83,88282, 1619247, 37.75
SUNPHARMA,EQ,01-Jan-2026,1719.7,1720.0,1726.0,1708.9,1725.0,1721.1,1718.56,877515,15080.58,31190, 574242, 65.44
TATACONSUM,EQ,01-Jan-2026,1192.0,1192.0,1195.5,1173.3,1173.3,1176.9,1180.74,947192,11183.88,27933, 613961, 64.82
TATASTEEL,EQ,01-Jan-2026,180.08,180.6,182.2,180.2,181.74,181.89,181.32,21507757,38998.82,139910, 8849050, 41.14
TCS,EQ,01-Jan-2026,3206.2,3215.0,3234.1,3198.2,3225.0,3227.4,3219.97,1255735,40434.25,56642, 497590, 39.63
TECHM,EQ,01-Jan-2026,1590.9,1591.0,1613.5,1587.2,1607.0,1607.7,1603.99,565878,9076.64,25823, 170647, 30.16
TITAN,EQ,01-Jan-2026,4051.5,4063.7,4068.0,4035.7,4049.4,4049.3,4052.33,444679,18019.84,46443, 227247, 51.10
TMPV,EQ,01-Jan-2026,367.35,368.85,371.0,365.55,368.55,367.55,367.93,7214281,26543.34,71670, 2730487, 37.85
TRENT,EQ,01-Jan-2026,4279.0,4279.0,4308.0,4255.8,4295.0,4297.4,4285.28,374599,16052.63,26012, 183574, 49.01
ULTRACEMCO,EQ,01-Jan-2026,11784.0,11792.0,11915.0,11784.0,11903.0,11901.0,11871.62,71887,8534.15,15050, 28486, 39.63
WIPRO,EQ,01-Jan-2026,263.28,264.5,268.05,263.75,267.3,267.35,266.73,3639755,9708.25,37501, 1148153, 31.54
ADANIENT,EQ,02-Jan-2026,2260.0,2260.0,2283.7,2259.0,2278.0,2279.8,2273.24,715242,16259.14,31529, 330288, 46.18
ADANIPORTS,EQ,02-Jan-2026,1481.1,1480.1,1495.0,1478.3,1490.0,1489.5,1489.42,1251176,18635.28,53129, 756122, 60.43
APOLLOHOSP,EQ,02-Jan-2026,7111.5,7130.0,7151.0,7075.5,7123.5,7129.5,7110.57,353245,25117.75,28652, 219243, 62.07
ASIANPAINT,EQ,02-Jan-2026,2752.0,2755.8,2799.0,2755.8,2771.6,2772.6,2773.17,508884,14112.22,34439, 242199, 47.59
AXISBANK,EQ,02-Jan-2026,1274.4,1273.9,1281.8,1264.3,1269.0,1266.9,1271.65,5860547,74525.38,211555, 4315363, 73.63
BAJAJ-AUTO,EQ,02-Jan-2026,9558.0,9550.0,9633.0,9310.5,9499.0,9502.5,9507.15,733651,69749.33,57314, 363114, 49.49
BAJAJFINSV,EQ,02-Jan-2026,2037.0,2030.1,2050.0,2026.6,2039.5,2038.4,2039.94,893818,18233.33,44371, 570601, 63.84
BAJFINANCE,EQ,02-Jan-2026,973.1,972.9,994.2,960.6,990.55,990.45,986.39,6206869,61224.1,113828, 3544409, 57.10
BEL,EQ,02-Jan-2026,397.7,399.65,405.6,398.95,403.3,403.15,402.89,10950368,44118.02,121282, 5088606, 46.47
BHARTIARTL,EQ,02-Jan-2026,2110.4,2108.0,2125.0,2098.0,2108.5,2106.3,2107.79,2927138,61697.85,137361, 2040630, 69.71
CIPLA,EQ,02-Jan-2026,1500.9,1500.9,1517.8,1498.6,1510.0,1511.6,1509.53,964611,14561.06,28980, 646740, 67.05
COALINDIA,EQ,02-Jan-2026,400.45,401.35,429.5,401.0,429.1,427.9,420.64,35090129,147602.25,279509, 13153830, 37.49
